Past,EVT,ACRES
Past Sparsely Vegetated,Sparsely Vegetated,163508
Past Conifer,Agricultural,1
Past Conifer,Conifer,173815
Past Conifer,Conifer-Hardwood,9208
Past Conifer,Developed,2908
Past Conifer,Exotics,756
Past Conifer,Grassland,5278
Past Conifer,Hardwood,2899
Past Conifer,Riparian,37
Past Conifer,Shrubland,40109
Past Conifer,Sparsely Vegetated,79356
Past Grassland,Agricultural,1
Past Grassland,Conifer,905
Past Grassland,Conifer-Hardwood,10
Past Grassland,Developed,53
Past Grassland,Exotics,10
Past Grassland,Grassland,276
Past Grassland,Hardwood,14
Past Grassland,Riparian,33
Past Grassland,Shrubland,288
Past Grassland,Sparsely Vegetated,1162
Past Hardwood,Conifer,1
Past Hardwood,Exotics,0
Past Hardwood,Shrubland,0
Past Hardwood,Sparsely Vegetated,0
Past Hardwood-Conifer,Agricultural,0
Past Hardwood-Conifer,Conifer,9164
Past Hardwood-Conifer,Conifer-Hardwood,2252
Past Hardwood-Conifer,Developed,154
Past Hardwood-Conifer,Exotics,153
Past Hardwood-Conifer,Grassland,555
Past Hardwood-Conifer,Hardwood,1109
Past Hardwood-Conifer,Riparian,4
Past Hardwood-Conifer,Shrubland,1338
Past Hardwood-Conifer,Sparsely Vegetated,151
Past Riparian,Agricultural,8
Past Riparian,Conifer,9168
Past Riparian,Conifer-Hardwood,299
Past Riparian,Developed,189
Past Riparian,Exotics,72
Past Riparian,Grassland,368
Past Riparian,Hardwood,104
Past Riparian,Riparian,648
Past Riparian,Shrubland,1972
Past Riparian,Sparsely Vegetated,864
Past Shrubland,Agricultural,69
Past Shrubland,Conifer,132089
Past Shrubland,Conifer-Hardwood,0
Past Shrubland,Developed,243
Past Shrubland,Exotics,6991
Past Shrubland,Grassland,9494
Past Shrubland,Hardwood,10
Past Shrubland,Riparian,1815
Past Shrubland,Shrubland,299529
Past Shrubland,Sparsely Vegetated,219257
